year,reporting_entity,facility_name,facility_type,state,electricity_production_gj,electricity_production_mwh,scope1_emissions_tco2e,scope2_emissions_tco2e,total_emissions_tco2e,emission_intensity_tco2e_per_mwh,grid_connected,primary_fuel,important_notes,controlling_corporation
2021,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Grosvenor 1 WCMG Power Station,F,QLD,510305.0,141752.0,80510.0,6.0,80516.0,0.57,On,Waste Coal Mine Gas,,
2021,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Grosvenor 2 WCMG Power Station,F,QLD,345750.0,96042.0,55380.0,4.0,55384.0,0.58,On,Waste Coal Mine Gas,,
2021,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Halls Creek LNG Power Station,F,WA,42069.0,11686.0,7581.0,0.0,7581.0,0.65,Off,Gas,,
2021,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Jack's Gully LFG Power Station,F,NSW,32506.0,9029.0,699.0,1.0,700.0,0.08,On,Landfill Gas,,
2021,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Kalamunda Power Station,F,WA,0.0,0.0,1.0,0.0,1.0,0.0,On,Diesel,,
2021,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Laverton Facility,F,WA,14461.0,4017.0,2861.0,0.0,2861.0,0.71,Off,Diesel,,
2021,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Leonora Facility,F,WA,29410.0,8170.0,6311.0,0.0,6311.0,0.77,Off,Gas,,
2021,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Looma NGD Power Station,F,WA,9087.0,2524.0,1869.0,0.0,1869.0,0.74,Off,Diesel,,
2021,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Lucas Heights 1 LFG Power Station,F,NSW,43250.0,12014.0,943.0,3.0,946.0,0.08,On,Landfill Gas,,
2021,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Lucas Heights 2 LFG Power Station,F,NSW,418510.0,116253.0,9383.0,2.0,9385.0,0.08,On,Landfill Gas,,
2021,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,McArthur River Power Station,F,NT,1182344.0,328429.0,168784.0,0.0,168784.0,0.51,Off,Gas,,
2021,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Menzies Facility,F,WA,2251.0,625.0,501.0,0.0,501.0,0.8,Off,Diesel,,
2021,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Moranbah North CMM Power Station,F,QLD,1298272.0,360631.0,213038.0,16.0,213054.0,0.59,On,Waste Coal Mine Gas,,
2021,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Mugga Lane LFG Power Station,F,ACT,0.0,0.0,0.0,3.0,3.0,0.0,On,Landfill Gas,,
2021,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Oaky Creek II WCMG Power Station,F,QLD,334009.0,92780.0,52701.0,40.0,52741.0,0.57,On,Waste Coal Mine Gas,,
2021,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Oaky Creek WCMG Power Station,F,QLD,281532.0,78203.0,40593.0,62.0,40655.0,0.52,On,Waste Coal Mine Gas,,
2021,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Pine Creek A Power Station,F,NT,765667.0,212685.0,99718.0,0.0,99718.0,0.47,On,Gas,,
2021,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Red Hill LFG Power Station,F,WA,77397.0,21499.0,1654.0,2.0,1656.0,0.08,On,Landfill Gas,,
2021,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Springvale LFG Power Station,F,VIC,22268.0,6186.0,480.0,4.0,484.0,0.08,On,Landfill Gas,,
2021,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Tahmoor WCMG Power Station,F,NSW,173792.0,48276.0,27460.0,5.0,27465.0,0.57,On,Waste Coal Mine Gas,,
2021,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Tamala Park LFG Power Station,F,WA,117355.0,32599.0,2505.0,3.0,2508.0,0.08,On,Landfill Gas,,
2021,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Tower CSM Power Station,F,NSW,587770.0,163269.0,105330.0,24.0,105354.0,0.65,On,Waste Coal Mine Gas,,
2021,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Warmun Facility,F,WA,9427.0,2619.0,1972.0,0.0,1972.0,0.75,Off,Diesel,,
2021,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Weipa Solar Power Station,F,QLD,9029.0,2508.0,0.0,11.0,11.0,0.0,Off,Solar,,
2021,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Wingfield 1 LFG Power Station,F,SA,23767.0,6602.0,886.0,4.0,890.0,0.13,On,Landfill Gas,,
2021,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Wingfield 2 LFG Power Station,F,SA,62744.0,17429.0,1327.0,2.0,1329.0,0.08,On,Landfill Gas,,
2021,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Wonthaggi Wind Farm,F,VIC,81626.0,22674.0,4.0,47.0,51.0,0.0,On,Wind,,
2021,CLARE SOLAR FARM HOLDINGS PTY LTD,Clare Solar Farm,F,QLD,726307.0,201752.0,80.0,840.0,920.0,0.0,On,Solar,,
2021,CLARKE ENERGY (AUSTRALIA) PTY. LTD.,Daandine Power Station,F,QLD,406375.0,112882.0,61562.0,660.0,62222.0,0.55,On,Coal Seam Methane,"Please note that where more than one person has operational control over a facility at the same time and no nomination of operational control has been made, data for the facility for the entire period must be reported by the controlling corporation of each entity with operational control. This results in the same facility being reported multiple times. APT PIPELINES LIMITED and CLARKE ENERGY (AUSTRALIA) PTY. LTD., have each included the same data for the Daandine Power Station in their NGER reports.",
2021,CLEANCO QUEENSLAND LIMITED,Barron Gorge Power Station,F,QLD,680393.0,188998.0,299.0,543.0,842.0,0.0,On,Hydro,,
2021,CLEANCO QUEENSLAND LIMITED,Kareeya Power Station,F,QLD,2018871.0,560798.0,70.0,846.0,916.0,0.0,On,Hydro,,
2021,CLEANCO QUEENSLAND LIMITED,Swanbank E Power Station,F,QLD,3894520.0,1081811.0,440081.0,1192.0,441273.0,0.41,On,Gas,,
2021,CLEANCO QUEENSLAND LIMITED,Wivenhoe Power Station,F,QLD,676578.0,187938.0,27.0,304307.0,304334.0,0.0,On,Hydro,,
2021,CONTRACT POWER AUSTRALIA PTY LTD,Cue Town Powerstation,F,WA,12371.0,3436.0,2416.0,0.0,2416.0,0.7,Off,Diesel,,
2021,CONTRACT POWER AUSTRALIA PTY LTD,Meekatharra Town Powerstation,F,WA,21671.0,6020.0,4141.0,0.0,4141.0,0.69,Off,Diesel,,
2021,CONTRACT POWER AUSTRALIA PTY LTD,Mt Magnet Town Powerstation,F,WA,14074.0,3910.0,2393.0,0.0,2393.0,0.61,Off,Gas,,
