state,abs_record_count,avg_obs_value
ACT,557,17481.9565529623
NSW,557,451729.1384201077
NT,557,251436.50179533218
QLD,557,509172.4450628366
SA,557,244952.85709156195
TAS,557,33477.18509874327
VIC,557,291410.45619389584
WA,557,558010.8675044883
