state,nger_record_count,total_generation_mwh,total_emissions_tco2e,avg_emission_intensity
ACT,33,958783.0,19248.0,0.02238095238095238
NSW,438,527532186.0,227456206.0,0.27762128325508606
NT,339,18034366.0,6261019.0,0.6730816326530612
QLD,573,500170314.0,234698373.0,0.4280285714285714
SA,249,89614557.0,11282118.0,0.26997150997151
TAS,205,83150433.0,395522.0,0.06766101694915254
VIC,460,385284852.0,200981976.0,0.22109204368174726
WA,511,197592597.0,70711721.0,0.5591258278145695
